2021-07-19 16:40:02,kunaonbeb,Jabar,b'@Telkomsel Saya belum mencoba pindahkan jaringan dari otomatis ke manual dan ke otomatis lagi soalnya seperti ini s\xe2\x80\xa6 https://t.co/UOi5LijOA7'
2021-07-19 16:37:38,Telkomsel,Indonesia,"b'@kunaonbeb Hai, Kak. Maaf ya, perihal kendala gaada sinyal. Apa sudah coba pindahkan jaringan dari otomatis ke manu\xe2\x80\xa6 https://t.co/TkKwUPlUxD'"
2021-07-19 16:18:45,Telkomsel,Indonesia,b'@sarunganwae sinyal yang tidak stabil. Apakah sudah mencoba refresh dengan cara pindahkan mode jaringan dari otomat\xe2\x80\xa6 https://t.co/qcoXzTkfZS'
2021-07-19 16:18:30,Telkomsel,Indonesia,"b'@sarunganwae Halo, Kak. Maaf ya, terkait tarif paket data mengacu kepada besaran biaya pengeluaran jaringan yang be\xe2\x80\xa6 https://t.co/kn99wdjcIT'"
2021-07-19 16:10:16,irawandr_,"Pekalongan, Indonesia","b'See, setiap ada keluhan daei lebih penggunanya selalu dibales dengan tamplate yang kurang lebih sama gini, bro ini\xe2\x80\xa6 https://t.co/uHUA0ilRBK'"
2021-07-19 16:08:26,Telkomsel,Indonesia,"b'@irawandr_ Hai, Kak Agi. Maaf banget ya jadi ga nyaman. Terkait keluhan sinyal yang tidak stabil. Jika sudah mencob\xe2\x80\xa6 https://t.co/HHQFW8Rp1V'"
2021-07-19 15:59:42,Telkomsel,Indonesia,"b'@destiDBL Maaf ya, Kak Desti \xf0\x9f\x98\x9f Untuk kendala sinyal, Jika sudah coba pindahin jaringan dari otomatis ke manual dan\xe2\x80\xa6 https://t.co/7D9quQjMp8'"
2021-07-19 15:50:47,Telkomsel,Indonesia,"b'@Afrians37396330 Maaf ya, Kak Afriansyah \xf0\x9f\x98\x9f Jika sinyal ga stabil, udah coba pindahin jaringan dari otomatis ke manu\xe2\x80\xa6 https://t.co/VBXw01Ejtm'"
2021-07-19 15:50:39,Telkomsel,Indonesia,"b'@_kumbakarna Hai, Kak. Maaf ya :( perihal kendala jaringan. Apa sudah coba pindahkan jaringan dari otomatis ke manu\xe2\x80\xa6 https://t.co/Vo2c3Dd8rx'"
2021-07-19 15:48:10,_kumbakarna,Pekanbaru - Surabaya,b'@Telkomsel jaringan bwosok dobol'
